HandID,Board,Winner,WinType,Pot,h_Hole,cfr_Hole,h_Bucket,cfr_Bucket,h_Action,cfr_Action,h_Delta,cfr_Delta
1,T♠5♦Q♠3♦3♥,h_bot,showdown,40,5♠K♥,2♦5♣,K5o,52o,call,call,20,-20
2,6♥5♣A♠5♥9♠,cfr_bot,showdown,80,Q♦T♥,2♦A♥,QTo,A2o,call,raise,0,0
3,4♦A♠2♦T♠Q♦,cfr_bot,showdown,160,5♠6♠,5♣8♠,65s,85o,call,raise,-60,60
4,,h_bot,fold,110,J♥4♠,3♠7♦,J4o,73o,call,fold,-50,50
5,,h_bot,fold,200,8♦9♦,2♥5♦,98s,52o,call,call,50,-50
6,,h_bot,fold,200,8♦3♥,A♦Q♣,83o,AQo,call,call,150,-150
7,,h_bot,fold,200,9♠8♦,3♥A♥,98o,A3s,call,call,250,-250
8,,h_bot,fold,110,K♦5♦,7♦J♣,K5s,J7o,call,fold,260,-260
9,,h_bot,fold,240,7♥Q♦,K♣4♣,Q7o,K4s,call,raise,400,-400
10,,h_bot,fold,280,K♠6♥,2♥3♦,K6o,32o,call,call,540,-540
11,,h_bot,fold,280,J♦5♥,T♠J♣,J5o,JTo,call,fold,680,-680
12,,h_bot,fold,280,A♠7♦,T♣9♠,A7o,T9o,call,call,820,-820
13,,h_bot,fold,280,7♦7♠,K♥6♥,77,K6s,call,call,960,-960
14,,h_bot,fold,180,6♣9♣,9♦K♠,96s,K9o,call,call,1000,-1000
15,,h_bot,fold,140,Q♠4♦,J♥8♠,Q4o,J8o,call,raise,1000,-1000
16,,h_bot,fold,0,K♥T♥,2♣2♠,KTs,22,call,call,1000,-1000
17,,h_bot,fold,10,T♣5♥,3♣5♦,T5o,53o,call,raise,1000,-1000
18,,h_bot,fold,40,K♠T♠,9♦5♦,KTs,95s,raise,fold,1000,-1000
19,,h_bot,fold,40,5♠5♣,8♠K♦,55,K8o,call,call,1000,-1000
20,,h_bot,fold,40,9♦K♠,A♥A♣,K9o,AA,call,call,1000,-1000
21,,h_bot,fold,40,Q♠6♥,3♠3♣,Q6o,33,call,fold,1000,-1000
22,,h_bot,fold,40,8♠K♦,8♥2♠,K8o,82o,call,call,1000,-1000
23,,h_bot,fold,40,Q♦3♦,6♣7♣,Q3s,76s,call,fold,1000,-1000
24,,h_bot,fold,40,9♣3♦,8♥4♦,93o,84o,call,fold,1000,-1000
25,,h_bot,fold,80,9♥K♦,8♠8♦,K9o,88,raise,call,1000,-1000
26,,h_bot,fold,80,5♥2♦,6♠K♠,52o,K6s,call,call,1000,-1000
27,,h_bot,fold,80,7♣6♣,8♥4♥,76s,84s,call,call,1000,-1000
28,,h_bot,fold,80,5♠6♣,4♣9♣,65o,94s,call,fold,1000,-1000
29,,h_bot,fold,120,8♠3♥,5♠A♠,83o,A5s,raise,fold,1000,-1000
30,,h_bot,fold,120,A♣A♦,7♦K♣,AA,K7o,call,raise,1000,-1000
31,,h_bot,fold,10,3♣4♥,5♠4♣,43o,54o,call,call,1000,-1000
32,,h_bot,fold,0,3♠5♥,7♠4♦,53o,74o,call,call,1000,-1000
33,,h_bot,fold,10,J♣3♥,8♣Q♥,J3o,Q8o,call,call,1000,-1000
34,,h_bot,fold,0,K♦A♥,3♦5♠,AKo,53o,call,call,1000,-1000
35,,h_bot,fold,10,8♠Q♠,6♣2♦,Q8s,62o,call,call,1000,-1000
36,,h_bot,fold,0,2♥K♦,Q♣T♣,K2o,QTs,call,call,1000,-1000
37,,h_bot,fold,10,4♠T♦,8♣Q♥,T4o,Q8o,call,raise,1000,-1000
38,,h_bot,fold,40,K♠T♠,J♦Q♦,KTs,QJs,raise,fold,1000,-1000
39,,h_bot,fold,40,4♠9♣,3♠6♠,94o,63s,call,fold,1000,-1000
40,,h_bot,fold,40,A♥J♥,4♦6♠,AJs,64o,call,call,1000,-1000
41,,h_bot,fold,40,J♥T♦,4♣9♣,JTo,94s,call,fold,1000,-1000
42,,h_bot,fold,40,9♦7♠,3♠8♥,97o,83o,call,call,1000,-1000
43,,h_bot,fold,80,Q♦8♦,2♣A♣,Q8s,A2s,raise,call,1000,-1000
44,,h_bot,fold,80,8♣5♦,2♦A♦,85o,A2s,call,call,1000,-1000
45,,h_bot,fold,80,Q♦5♣,3♥2♣,Q5o,32o,call,fold,1000,-1000
46,,h_bot,fold,120,J♥T♦,5♥Q♣,JTo,Q5o,raise,call,1000,-1000
47,,h_bot,fold,120,6♥6♣,5♥6♠,66,65o,call,call,1000,-1000
48,,h_bot,fold,120,J♥2♥,K♥K♠,J2s,KK,call,fold,1000,-1000
49,,h_bot,fold,120,A♦5♠,4♥3♣,A5o,43o,call,call,1000,-1000
50,,h_bot,fold,120,6♥9♣,7♠2♥,96o,72o,call,call,1000,-1000
51,,h_bot,fold,160,5♠3♣,4♣J♦,53o,J4o,raise,fold,1000,-1000
52,,h_bot,fold,160,2♦6♦,J♥2♥,62s,J2s,call,fold,1000,-1000
53,,h_bot,fold,200,A♠5♥,6♣4♥,A5o,64o,raise,call,1000,-1000
54,,h_bot,fold,200,4♦4♥,5♥Q♥,44,Q5s,call,fold,1000,-1000
55,,h_bot,fold,240,J♦3♥,Q♥3♠,J3o,Q3o,raise,fold,1000,-1000
56,,h_bot,fold,280,6♠5♣,8♦6♥,65o,86o,raise,fold,1000,-1000
57,,h_bot,fold,280,T♥J♥,A♣K♦,JTs,AKo,call,fold,1000,-1000
58,,h_bot,fold,280,6♣7♥,2♠9♣,76o,92o,call,call,1000,-1000
59,,h_bot,fold,280,7♥3♠,6♦T♣,73o,T6o,call,call,1000,-1000
60,,h_bot,fold,280,Q♥2♦,6♥4♠,Q2o,64o,call,raise,1000,-1000
61,,h_bot,fold,50,9♦4♥,A♣K♦,94o,AKo,raise,call,1000,-1000
62,,h_bot,fold,90,6♣6♠,A♣9♦,66,A9o,raise,call,1000,-1000
63,,h_bot,fold,90,8♠4♦,6♥K♦,84o,K6o,call,call,1000,-1000
64,,h_bot,fold,130,4♦4♠,6♣8♥,44,86o,raise,call,1000,-1000
65,,h_bot,fold,170,8♥Q♥,3♥4♠,Q8s,43o,raise,fold,1000,-1000
66,,h_bot,fold,210,8♣K♦,5♠T♠,K8o,T5s,raise,call,1000,-1000
67,9♥7♦J♠A♠3♣,h_bot,showdown,10,J♣4♠,5♠8♣,J4o,85o,fold,fold,1000,-1000
68,2♣8♠6♥Q♥5♦,h_bot,showdown,250,5♥5♠,3♠7♣,55,73o,raise,fold,1000,-1000
69,K♣2♦9♥2♠5♥,cfr_bot,showdown,250,5♣7♦,8♣K♠,75o,K8o,call,call,750,-750
70,J♣3♦J♦A♠8♠,h_bot,showdown,500,K♠J♥,4♣9♣,KJo,94s,call,raise,1000,-1000
71,J♥7♠T♥T♣A♣,h_bot,showdown,250,9♣A♦,2♣4♥,A9o,42o,call,call,1000,-1000
72,Q♦Q♠8♥9♣K♠,h_bot,showdown,290,9♠8♠,T♥2♦,98s,T2o,raise,call,1000,-1000
73,T♦J♠5♦3♦A♦,h_bot,showdown,290,Q♣K♠,J♣6♥,KQo,J6o,call,call,1000,-1000
74,9♥6♣4♦6♦K♣,h_bot,showdown,290,T♣K♥,5♦5♣,KTo,55,call,fold,1000,-1000
75,8♥K♦7♠Q♣J♠,cfr_bot,showdown,330,4♣9♠,K♣7♣,94o,K7s,raise,fold,670,-670
76,7♣8♥4♥T♣A♥,cfr_bot,showdown,660,J♠6♦,A♣9♦,J6o,A9o,call,call,340,-340
77,9♦A♠7♠9♠T♥,cfr_bot,showdown,740,3♠J♦,9♥T♣,J3o,T9o,raise,call,-30,30
78,J♥8♥T♠5♣8♠,h_bot,showdown,740,3♠3♣,K♠2♥,33,K2o,call,call,340,-340
79,K♦K♣9♥Q♠Q♣,h_bot,showdown,740,Q♦A♠,5♥3♦,AQo,53o,call,call,710,-710
80,8♦7♠5♥J♣2♥,h_bot,showdown,380,7♣T♥,A♠T♦,T7o,ATo,call,fold,720,-720
81,T♠A♠5♦K♥7♥,h_bot,showdown,690,4♥4♠,4♣J♣,44,J4s,raise,call,1000,-1000
82,9♦A♣T♦K♦K♠,h_bot,showdown,450,Q♣2♠,7♦6♥,Q2o,76o,raise,raise,1000,-1000
83,T♠4♠8♥8♣T♣,h_bot,showdown,10,J♣Q♦,9♣5♣,QJo,95s,call,call,1000,-1000
84,3♥A♠J♥4♠T♥,h_bot,showdown,0,3♠T♦,4♦6♥,T3o,64o,call,call,1000,-1000
85,3♠Q♦3♥K♠J♠,cfr_bot,showdown,50,4♥4♦,3♣A♠,44,A3o,raise,fold,950,-950
86,9♦3♦T♠A♦K♣,h_bot,showdown,60,3♠J♠,Q♥6♦,J3s,Q6o,call,fold,960,-960
87,8♦7♠K♦A♠T♦,h_bot,showdown,130,K♥J♦,4♣4♥,KJo,44,raise,call,1000,-1000
88,J♥8♠T♥4♣7♣,cfr_bot,showdown,90,A♦2♠,4♥4♠,A2o,44,call,call,910,-910
89,6♠T♦K♥Q♥J♠,h_bot,showdown,180,Q♠T♠,3♣8♥,QTs,83o,call,call,1000,-1000
90,K♦K♣T♠9♠A♣,h_bot,showdown,90,T♣T♥,J♣9♦,TT,J9o,call,fold,1000,-1000
91,7♦K♦2♠3♦7♣,h_bot,showdown,90,7♠5♠,8♥A♠,75s,A8o,call,fold,1000,-1000
92,9♦Q♣6♣7♥Q♦,cfr_bot,showdown,90,2♦T♠,A♣9♠,T2o,A9o,call,fold,910,-910
93,7♥2♣Q♠6♣3♣,cfr_bot,showdown,180,2♠9♠,5♣Q♦,92s,Q5o,call,call,820,-820
94,5♥5♦4♠2♥4♣,h_bot,showdown,100,K♣K♥,Q♠J♠,KK,QJs,call,fold,830,-830
95,T♥5♣A♠7♥9♥,h_bot,showdown,180,7♣2♦,3♣K♠,72o,K3o,call,call,920,-920
96,A♥4♥T♠8♣9♠,h_bot,showdown,140,3♥9♣,7♣4♣,93o,74s,raise,fold,930,-930
97,8♦J♥8♣K♠J♣,h_bot,showdown,240,6♦K♣,6♥3♣,K6o,63o,raise,fold,1000,-1000
98,9♠2♥A♥6♥8♥,h_bot,showdown,210,4♥J♦,2♠4♦,J4o,42o,raise,call,1000,-1000
99,K♠A♥7♣6♣4♥,h_bot,showdown,210,7♠J♦,6♦8♥,J7o,86o,call,raise,1000,-1000
100,A♦T♠3♠2♣A♣,cfr_bot,showdown,40,J♠4♣,Q♦5♣,J4o,Q5o,raise,call,960,-960
101,2♣Q♣5♠3♠J♣,cfr_bot,showdown,80,6♥T♦,K♣4♠,T6o,K4o,call,call,920,-920
102,A♥J♦5♠8♠4♠,h_bot|cfr_bot,split,80,K♥3♣,K♦3♦,K3o,K3s,call,call,920,-920
103,Q♦J♥A♦8♦K♦,h_bot,showdown,160,4♣T♠,8♣7♣,T4o,87s,raise,call,1000,-1000
104,T♦5♠5♦8♦9♥,cfr_bot,showdown,120,4♣3♠,T♣7♦,43o,T7o,raise,call,880,-880
105,3♠Q♣T♥8♣4♣,h_bot,showdown,240,7♣T♣,5♦9♣,T7s,95o,call,call,1000,-1000
106,K♥K♠J♣5♣9♣,cfr_bot,showdown,120,4♠7♣,K♦T♠,74o,KTo,call,call,880,-880
107,K♦4♦5♣6♦9♥,h_bot,showdown,240,7♣K♠,9♣Q♦,K7o,Q9o,call,call,1000,-1000
108,3♣2♠9♥5♣4♣,h_bot,showdown,160,2♣Q♦,8♦K♦,Q2o,K8s,raise,call,1000,-1000
109,5♥K♣2♦7♦J♠,cfr_bot,showdown,200,6♥6♠,K♦7♥,66,K7o,raise,fold,800,-800
110,8♥2♣2♦K♥2♠,h_bot,showdown,250,Q♥K♦,7♣9♥,KQo,97o,raise,fold,810,-810
111,K♦2♥6♠6♦5♠,h_bot|cfr_bot,split,430,3♠A♦,4♠A♠,A3o,A4s,call,call,785,-785
112,J♠9♣T♥6♠A♠,cfr_bot,showdown,495,7♥2♣,J♦9♠,72o,J9o,raise,call,505,-505
113,7♣8♦T♦Q♣T♣,h_bot,showdown,560,J♥8♣,9♥2♥,J8o,92s,call,call,785,-785
114,Q♥6♦Q♠Q♣2♠,h_bot,showdown,290,4♦Q♦,T♦A♥,Q4s,ATo,call,fold,795,-795
115,K♦J♥4♦T♣8♥,cfr_bot,showdown,525,5♦A♠,T♥4♣,A5o,T4o,raise,fold,475,-475
116,Q♠4♠J♠6♣K♦,cfr_bot,showdown,330,9♥4♥,4♣A♣,94s,A4s,call,fold,155,-155
117,7♣Q♠J♥2♥6♠,h_bot,showdown,720,Q♣4♠,T♥J♦,Q4o,JTo,raise,call,515,-515
118,J♥2♥J♣8♥7♣,h_bot,showdown,410,6♦6♥,A♥K♣,66,AKo,raise,fold,525,-525
119,J♥6♦8♦T♦Q♥,h_bot,showdown,880,9♦7♠,A♠4♠,97o,A4s,raise,call,965,-965
120,A♠6♥K♠2♣K♦,h_bot,showdown,475,4♥A♣,2♥3♣,A4o,32o,call,call,1000,-1000
121,8♣2♠9♠3♠T♥,cfr_bot,showdown,480,7♦Q♥,2♣6♦,Q7o,62o,raise,fold,520,-520
122,K♦8♦K♠3♠4♣,h_bot,showdown,530,A♦2♣,J♥7♠,A2o,J7o,raise,fold,530,-530
123,3♣A♠J♠Q♠K♣,cfr_bot,showdown,1030,9♦6♥,T♣4♣,96o,T4s,raise,raise,-30,30
124,Q♦9♣3♣K♦J♦,cfr_bot,showdown,940,2♠5♠,7♣5♥,52s,75o,call,call,-500,500
125,5♠Q♦J♥T♥7♥,cfr_bot,showdown,940,6♣4♦,9♦2♣,64o,92o,call,call,-970,970
126,Q♣T♦2♣4♥4♦,cfr_bot,showdown,60,3♥K♣,T♠T♣,K3o,TT,raise,call,-1000,1000
127,A♣K♥6♣7♠A♥,h_bot,showdown,30,5♣Q♠,2♠4♥,Q5o,42o,raise,call,-970,970
128,3♠T♣4♠7♥5♥,cfr_bot,showdown,10,J♠8♠,9♥Q♠,J8s,Q9o,call,call,-970,970
129,9♠6♣8♥8♣3♥,h_bot,showdown,30,J♠2♠,4♥T♣,J2s,T4o,raise,fold,-970,970
130,2♠A♦J♥Q♦9♠,h_bot,showdown,40,Q♠4♦,K♠3♦,Q4o,K3o,raise,fold,-960,960
131,4♠8♥6♠8♦2♥,cfr_bot,showdown,80,5♠Q♥,9♦9♠,Q5o,99,raise,call,-1000,1000
132,5♣Q♣T♣7♦4♠,h_bot,showdown,10,2♣A♦,J♠8♥,A2o,J8o,raise,call,-990,990
133,9♦8♠4♠6♣6♠,h_bot,showdown,60,K♦5♥,5♣J♣,K5o,J5s,raise,raise,-940,940
134,9♣K♦A♥T♣J♦,h_bot,showdown,100,2♦J♥,5♦8♦,J2o,85s,call,call,-890,890
135,Q♥4♣K♣6♥4♦,cfr_bot,showdown,220,3♠9♥,A♦3♣,93o,A3o,raise,raise,-980,980
136,7♥9♠2♥6♦5♥,h_bot,showdown,30,4♦5♣,3♦Q♠,54o,Q3o,call,fold,-970,970
137,K♥9♥J♠Q♠6♥,h_bot,showdown,160,K♠J♥,A♣7♥,KJo,A7o,raise,call,-840,840
138,K♠Q♠J♣T♠A♦,cfr_bot,showdown,80,8♦5♥,5♠7♠,85o,75s,raise,fold,-910,910
139,7♣4♣A♦2♠6♣,cfr_bot,showdown,160,5♠J♦,J♥9♦,J5o,J9o,raise,fold,-1000,1000
140,J♠7♠3♣5♥8♥,cfr_bot,showdown,10,6♦2♦,A♠9♦,62s,A9o,raise,call,-1000,1000
141,A♣K♠3♠8♠3♣,h_bot|cfr_bot,split,0,2♠3♥,4♥3♦,32o,43o,call,call,-1000,1000
142,3♣3♥T♣A♦6♥,h_bot,showdown,10,3♠8♣,Q♠K♦,83o,KQo,raise,call,-990,990
143,K♥5♥J♣8♦3♥,h_bot,showdown,20,K♦A♣,4♦A♥,AKo,A4o,raise,call,-980,980
144,3♥8♣2♦T♦T♠,cfr_bot,showdown,20,4♣6♣,5♥5♦,64s,55,call,call,-990,990
145,2♠9♠7♦J♣3♦,h_bot,showdown,20,A♦J♠,5♥9♣,AJo,95o,call,call,-980,980
146,2♦5♦4♥K♠Q♦,h_bot,showdown,20,Q♣9♣,6♠4♣,Q9s,64o,call,call,-970,970
147,A♠T♥J♠3♠9♠,h_bot,showdown,20,8♠Q♥,J♣A♦,Q8o,AJo,call,call,-960,960
148,3♥K♠J♦5♣9♦,cfr_bot,showdown,80,T♠7♠,9♥3♦,T7s,93o,raise,call,-1000,1000
149,A♦A♥4♥A♣K♥,cfr_bot,showdown,40,6♠8♠,5♥T♦,86s,T5o,call,call,-1000,1000
150,5♥9♦5♠3♥J♣,cfr_bot,showdown,10,A♠9♣,J♠6♠,A9o,J6s,raise,call,-1000,1000
151,2♦7♣K♣3♥3♦,h_bot,showdown,0,3♣4♥,6♦9♦,43o,96s,raise,call,-1000,1000
152,Q♠5♥A♠K♦7♥,cfr_bot,showdown,10,8♣2♠,9♣9♥,82o,99,call,call,-1000,1000
153,8♠Q♥T♠5♥9♣,cfr_bot,showdown,0,5♠3♠,8♣Q♦,53s,Q8o,call,call,-1000,1000
154,4♦7♠5♠2♦Q♦,cfr_bot,showdown,10,8♦3♥,K♥T♠,83o,KTo,raise,fold,-1000,1000
155,5♣J♥K♠6♠8♥,cfr_bot,showdown,40,2♣Q♣,K♦Q♠,Q2s,KQo,call,raise,-1000,1000
156,7♥J♣8♠2♥A♣,cfr_bot,showdown,10,3♠4♣,K♦9♣,43o,K9o,raise,call,-1000,1000
157,Q♥Q♠6♣Q♣J♦,h_bot,showdown,0,T♥6♠,4♥3♣,T6o,43o,raise,call,-1000,1000
158,2♠T♠Q♦2♣7♦,h_bot|cfr_bot,split,10,6♦J♠,4♠J♥,J6o,J4o,raise,call,-995,995
159,9♦Q♣2♥4♥3♦,h_bot,showdown,5,9♣Q♠,9♠K♥,Q9o,K9o,call,call,-995,995
160,K♠9♦4♠7♣2♥,h_bot,showdown,10,8♦K♦,T♥T♠,K8s,TT,call,call,-985,985
161,8♣A♥8♥7♣Q♠,cfr_bot,showdown,15,2♣7♥,8♠3♠,72o,83s,raise,fold,-1000,1000
162,2♦3♥6♦7♠5♣,cfr_bot,showdown,10,J♥T♣,7♦T♥,JTo,T7o,raise,call,-1000,1000
163,T♣2♣4♥9♦8♠,cfr_bot,showdown,0,3♦3♣,9♣T♥,33,T9o,raise,call,-1000,1000
164,8♠Q♣K♦7♣8♦,h_bot,showdown,10,6♣K♣,T♠2♠,K6s,T2s,call,call,-990,990
165,9♦7♦2♠A♥8♣,cfr_bot,showdown,10,4♦3♥,J♥7♠,43o,J7o,fold,call,-1000,1000
166,3♠6♠J♠4♦6♦,h_bot,showdown,50,6♥T♣,9♠9♥,T6o,99,fold,raise,-950,950
167,9♥7♣6♣8♥J♠,cfr_bot,showdown,100,4♦J♥,J♦7♠,J4o,J7o,raise,call,-1000,1000
168,J♥7♠Q♣4♠2♣,h_bot,showdown,10,T♦7♦,8♣A♠,T7s,A8o,call,fold,-990,990
169,7♦2♥4♦9♥Q♣,cfr_bot,showdown,60,6♥2♦,4♣7♣,62o,74s,call,call,-1000,1000
170,5♦A♣A♠3♥T♦,h_bot,showdown,10,3♣J♦,2♣K♠,J3o,K2o,raise,call,-990,990
171,4♣8♣5♣T♠2♦,cfr_bot,showdown,10,A♣4♠,9♣2♣,A4o,92s,raise,fold,-1000,1000
172,2♠A♠T♠6♥A♣,cfr_bot,showdown,10,3♠4♦,2♥K♦,43o,K2o,fold,call,-1000,1000
173,4♦J♠8♥J♦8♣,cfr_bot,showdown,10,3♦7♥,K♠Q♣,73o,KQo,raise,call,-1000,1000
174,5♦Q♥T♦4♠2♣,h_bot,showdown,10,A♣5♣,9♠3♥,A5s,93o,call,call,-990,990
175,6♠J♥Q♥7♥4♦,h_bot,showdown,20,5♣A♦,K♠9♦,A5o,K9o,raise,call,-980,980
176,T♠9♣8♣5♦7♥,cfr_bot,showdown,30,2♣7♠,4♥6♣,72o,64o,raise,fold,-1000,1000
177,7♣8♦Q♠8♣4♠,h_bot,showdown,20,J♦7♥,T♥3♦,J7o,T3o,raise,call,-980,980
178,4♣9♦3♥3♦9♠,cfr_bot,showdown,10,8♠8♥,8♣3♠,88,83o,call,call,-980,980
179,J♥8♥7♥3♥4♣,h_bot,showdown,10,2♥8♦,J♠A♠,82o,AJs,fold,call,-980,980
180,T♠A♣A♠9♠6♥,cfr_bot,showdown,10,2♥7♠,Q♥2♦,72o,Q2o,fold,call,-980,980
181,7♣9♠T♣J♥6♦,cfr_bot,showdown,40,Q♠4♣,9♥8♠,Q4o,98o,raise,call,-1000,1000
182,7♠4♠5♥6♦Q♥,h_bot,showdown,20,K♦3♣,2♦T♦,K3o,T2s,fold,call,-980,980
183,K♦Q♣J♦2♣8♦,cfr_bot,showdown,40,4♣7♦,8♥T♦,74o,T8o,raise,call,-1000,1000
184,J♥Q♣2♦8♥9♦,h_bot,showdown,10,9♣6♥,8♦K♥,96o,K8o,raise,call,-990,990
185,8♦A♦5♣K♦7♦,h_bot,showdown,10,2♣A♠,4♠T♥,A2o,T4o,raise,fold,-990,990
186,A♠7♣2♥J♠Q♦,cfr_bot,showdown,60,K♥6♣,Q♥8♥,K6o,Q8s,raise,raise,-1000,1000
187,9♦A♠4♥9♠7♠,cfr_bot,showdown,50,T♦8♥,Q♥A♣,T8o,AQo,call,call,-1000,1000
188,Q♠6♠6♦K♥J♣,cfr_bot,showdown,10,5♣5♦,3♦Q♦,55,Q3s,raise,call,-1000,1000
189,2♣A♠8♠Q♦3♣,cfr_bot,showdown,0,4♦K♠,Q♠2♠,K4o,Q2s,call,call,-1000,1000
190,J♣6♠5♣7♥T♥,h_bot,showdown,10,A♣8♦,3♦8♠,A8o,83o,call,call,-990,990
191,T♣J♠9♦2♠7♥,cfr_bot,showdown,10,3♣2♣,J♥8♣,32s,J8o,call,call,-1000,1000
192,A♦K♦8♥J♠J♣,h_bot,showdown,10,5♦K♠,T♦6♥,K5o,T6o,fold,call,-990,990
193,7♥4♥K♦6♣2♠,h_bot,showdown,10,K♥3♠,3♣9♣,K3o,93s,fold,call,-990,990
194,2♣T♦J♥7♣T♥,h_bot,showdown,20,2♦J♦,5♥Q♣,J2s,Q5o,raise,call,-980,980
195,6♠K♣5♥T♣7♦,cfr_bot,showdown,20,6♣4♣,8♦K♠,64s,K8o,fold,call,-990,990
196,K♣8♠Q♦Q♥4♦,cfr_bot,showdown,20,9♥J♦,A♣6♦,J9o,A6o,call,call,-1000,1000
197,8♥5♣5♥8♦9♠,cfr_bot,showdown,10,7♣3♠,4♦Q♥,73o,Q4o,call,call,-1000,1000
198,6♠7♦4♠8♦A♦,cfr_bot,showdown,10,4♦J♠,T♣7♠,J4o,T7o,raise,call,-1000,1000
199,7♣3♥8♦J♦6♥,cfr_bot,showdown,0,4♣A♣,T♦3♣,A4s,T3o,call,call,-1000,1000
200,Q♠4♦K♣8♥9♦,h_bot,showdown,10,8♣Q♣,J♦A♥,Q8s,AJo,raise,call,-990,990
201,8♠3♠T♥J♦4♠,cfr_bot,showdown,10,6♣9♦,2♣T♠,96o,T2o,fold,call,-1000,1000
202,9♥8♥T♣4♠4♣,cfr_bot,showdown,10,J♥7♦,Q♣J♠,J7o,QJo,raise,call,-1000,1000
203,5♥K♠4♦9♣9♥,cfr_bot,showdown,0,3♠7♥,6♥7♦,73o,76o,fold,call,-1000,1000
204,Q♣8♦5♣5♦A♥,cfr_bot,showdown,10,8♣6♦,A♣K♠,86o,AKo,call,call,-1000,1000
205,Q♣K♥2♣K♣J♥,h_bot,showdown,0,7♠7♥,A♦5♣,77,A5o,raise,call,-1000,1000
206,8♦T♦A♣9♠7♣,cfr_bot,showdown,50,8♠2♠,4♠6♠,82s,64s,call,raise,-1000,1000
207,6♠K♠8♣J♣4♠,cfr_bot,showdown,50,2♠2♦,K♣5♣,22,K5s,call,call,-1000,1000
208,Q♠A♥Q♣7♣3♦,cfr_bot,showdown,10,8♠2♦,6♥6♦,82o,66,fold,fold,-1000,1000
209,Q♠6♠7♣5♦8♣,cfr_bot,showdown,50,8♦6♣,J♠9♥,86o,J9o,fold,call,-1000,1000
210,8♦J♦K♠2♦7♦,h_bot,showdown,50,4♦7♥,9♠9♣,74o,99,fold,call,-950,950
211,8♠2♦A♦Q♥6♣,cfr_bot,showdown,100,9♣4♥,5♦T♣,94o,T5o,raise,call,-1000,1000
212,6♦5♣J♣A♥8♦,cfr_bot,showdown,50,2♣6♣,9♥A♣,62s,A9o,call,call,-1000,1000
213,9♦4♠K♥8♠J♠,h_bot,showdown,50,9♥T♥,3♣5♦,T9s,53o,call,call,-950,950
214,Q♥4♠K♥A♣A♥,cfr_bot,showdown,140,9♦2♦,3♠J♥,92s,J3o,raise,raise,-1000,1000
215,3♠K♦9♥8♣2♠,cfr_bot,showdown,90,4♥6♥,7♥K♥,64s,K7s,fold,call,-1000,1000
216,K♦2♠9♣4♦8♣,cfr_bot,showdown,50,A♦3♠,5♦K♠,A3o,K5o,raise,raise,-1000,1000
217,4♥A♥8♠9♦2♦,cfr_bot,showdown,50,J♥8♦,4♣2♥,J8o,42o,raise,call,-1000,1000
218,7♥2♥8♠7♦9♣,h_bot,showdown,10,5♥9♦,3♥T♥,95o,T3s,call,fold,-990,990
219,6♣2♦K♦7♦K♣,h_bot|cfr_bot,split,50,5♥4♥,5♣3♥,54s,53o,call,raise,-975,975
220,2♣A♥4♠Q♦8♠,cfr_bot,showdown,35,3♠9♣,3♣8♣,93o,83s,raise,fold,-1000,1000
221,Q♣9♥9♣2♠T♥,h_bot,showdown,25,J♠8♠,J♣7♠,J8s,J7o,fold,call,-975,975
222,Q♦3♦J♣6♠8♥,cfr_bot,showdown,35,J♦K♥,K♠Q♠,KJo,KQs,raise,fold,-1000,1000
223,A♥T♦5♣A♦6♣,cfr_bot,showdown,25,4♣7♥,2♠8♠,74o,82s,fold,call,-1000,1000
224,8♥4♣T♦5♦2♦,cfr_bot,showdown,10,K♠9♥,6♣3♥,K9o,63o,raise,call,-1000,1000
225,3♥5♦6♣7♠4♦,h_bot|cfr_bot,split,0,7♣2♥,Q♣T♥,72o,QTo,fold,call,-1000,1000
226,9♦K♠9♥A♠5♦,cfr_bot,showdown,10,K♥Q♠,A♥J♦,KQo,AJo,raise,call,-1000,1000
227,7♠8♥A♦A♣8♦,h_bot,showdown,0,K♣5♦,4♣J♦,K5o,J4o,fold,call,-1000,1000
228,Q♣7♠8♦K♣8♠,h_bot|cfr_bot,split,10,2♦4♣,5♣3♥,42o,53o,call,call,-995,995
229,T♥Q♥J♣8♦9♠,cfr_bot,showdown,5,6♣5♦,Q♠K♦,65o,KQo,raise,fold,-1000,1000
230,A♣3♠4♥K♣T♣,h_bot,showdown,10,9♣4♣,7♥A♥,94s,A7s,raise,call,-990,990
231,3♦K♣8♣7♦3♠,h_bot,showdown,20,K♠9♥,T♦9♠,K9o,T9o,raise,call,-980,980
232,4♠7♥T♣9♣3♥,h_bot,showdown,20,9♦A♦,Q♣2♥,A9s,Q2o,call,call,-970,970
233,4♥2♦8♥2♣K♣,cfr_bot,showdown,40,Q♦A♥,T♦4♣,AQo,T4o,raise,fold,-1000,1000
234,K♣4♣K♠6♦4♦,h_bot|cfr_bot,split,10,7♠4♠,A♠4♥,74s,A4o,call,fold,-995,995
235,3♣5♦5♠6♥3♥,h_bot|cfr_bot,split,35,2♥A♠,2♦A♦,A2o,A2s,fold,call,-983,982
236,Q♦4♥6♥4♣7♠,cfr_bot,showdown,27,9♣4♦,6♦6♣,94o,66,raise,fold,-1000,999
237,2♦A♠J♣6♦T♠,cfr_bot,showdown,17,7♠Q♣,5♠6♥,Q7o,65o,raise,call,-1000,999
238,K♠4♣6♥A♦A♥,h_bot,showdown,10,3♣9♠,8♣2♣,93o,82s,fold,fold,-990,989
