HandID,Board,Winner,WinType,Pot,h_Hole,cfr_Hole,h_Bucket,cfr_Bucket,h_Action,cfr_Action,h_Delta,cfr_Delta
1018,T♥K♦Q♣K♠8♠,h_bot,showdown,855,Q♥7♣,T♠A♦,Q7o,ATo,raise,fold,844,-854
1019,K♠3♦J♠3♣6♣,cfr_bot,showdown,1031,Q♣7♥,T♦6♦,Q7o,T6s,raise,call,-41,31
1020,3♠A♥J♦8♠8♣,cfr_bot,showdown,1850,T♦7♠,8♥K♣,T7o,K8o,raise,call,-966,956
1021,3♦Q♦A♠9♣7♠,h_bot,showdown,935,8♥7♥,J♥T♣,87s,JTo,fold,call,-41,31
1022,2♦Q♦8♥Q♣2♥,h_bot,showdown,1850,A♥6♠,5♠6♣,A6o,65o,fold,call,884,-894
1023,A♠K♦2♣9♦2♥,h_bot,showdown,116,2♦7♣,A♥J♠,72o,AJo,fold,call,990,-1000
1024,6♣K♣T♠7♥2♥,h_bot,showdown,965,J♣J♠,A♣Q♦,JJ,AQo,raise,fold,990,-1000
1025,K♠4♦K♣3♥J♠,h_bot,showdown,10,9♠J♥,7♥6♦,J9o,76o,fold,fold,990,-1000
1026,3♦3♣A♠4♠A♣,cfr_bot,showdown,1005,T♠Q♠,K♠9♣,QTs,K9o,raise,call,-15,5
1027,4♠T♣6♥5♠Q♠,h_bot,showdown,1015,3♥T♦,6♠K♣,T3o,K6o,fold,call,990,-1000
1028,4♣9♠5♣J♦6♦,cfr_bot,showdown,1005,K♣A♦,6♥5♦,AKo,65o,fold,call,-15,5
1029,9♠4♦T♠3♠K♥,h_bot,showdown,1990,3♣6♥,8♦A♦,63o,A8s,raise,call,990,-1000
1030,8♣A♣3♠9♠3♣,cfr_bot,showdown,985,7♠J♣,8♦5♥,J7o,85o,fold,raise,5,-15
1031,4♦J♥7♥7♠3♦,cfr_bot,showdown,10,2♠T♠,A♦A♠,T2s,AA,call,call,-5,-5
1032,J♣K♣T♦3♠K♠,cfr_bot,showdown,10,2♥5♥,T♠T♥,52s,TT,fold,call,-5,-5
1033,K♥4♠9♠A♥K♣,cfr_bot,showdown,10,2♣2♠,J♦A♦,22,AJs,fold,call,-15,5
1034,4♥Q♠7♥K♠2♦,h_bot,showdown,10,8♥J♥,9♦T♦,J8s,T9s,fold,call,-5,-5
1035,J♥6♣6♦4♦A♠,h_bot,showdown,10,9♣K♥,8♠7♣,K9o,87o,fold,call,-5,-5
1036,A♥2♣6♠2♠9♣,h_bot,showdown,50,A♦3♦,J♦J♣,A3s,JJ,raise,fold,5,-15
1037,7♥J♣4♦3♥2♥,h_bot,showdown,50,6♣2♠,6♠A♦,62o,A6o,fold,call,45,-55
1038,5♣Q♦8♦Q♣J♣,cfr_bot,showdown,90,T♠J♦,K♥Q♥,JTo,KQs,raise,fold,-35,25
1039,A♣A♦J♥3♠Q♠,h_bot,showdown,90,9♥Q♥,2♠T♥,Q9s,T2o,fold,call,45,-55
1040,A♥4♣5♥2♣5♣,cfr_bot,showdown,90,7♥6♠,3♠K♣,76o,K3o,call,fold,-35,25
1041,9♠A♠4♣Q♥7♣,h_bot,showdown,240,J♥4♦,5♥3♠,J4o,53o,raise,call,85,-95
1042,2♠Q♠K♠3♦7♥,h_bot,showdown,320,9♠4♠,7♣T♥,94s,T7o,raise,call,245,-255
1043,5♦7♠9♥6♦2♦,h_bot,showdown,170,6♣2♠,K♦7♣,62o,K7o,fold,call,405,-415
1044,K♦5♦A♦T♣J♠,h_bot,showdown,440,4♠J♣,3♥4♦,J4o,43o,raise,raise,645,-655
1045,9♥8♣2♥T♦5♠,h_bot,showdown,520,A♠A♥,J♠8♠,AA,J8s,raise,fold,885,-895
1046,J♣9♣A♣2♠K♥,h_bot,showdown,290,Q♠6♠,T♠8♦,Q6s,T8o,fold,fold,895,-905
1047,5♣8♦6♠K♣5♥,cfr_bot,showdown,105,4♦2♣,6♣3♦,42o,63o,fold,raise,885,-895
1048,Q♦3♠8♠7♠T♠,h_bot,showdown,105,T♥2♦,K♦7♣,T2o,K7o,fold,fold,895,-905
1049,3♠3♥J♣6♣3♣,cfr_bot,showdown,230,A♦A♥,6♠3♦,AA,63o,raise,fold,760,-770
1050,8♣6♣J♠A♥Q♠,cfr_bot,showdown,145,5♦4♦,4♠K♥,54s,K4o,fold,fold,625,-635
1051,K♠6♥K♥2♥J♠,h_bot,showdown,145,9♠K♦,8♣3♦,K9o,83o,fold,call,760,-770
1052,2♦5♥5♠T♣4♦,cfr_bot,showdown,145,3♣7♦,8♦3♦,73o,83s,fold,fold,625,-635
1053,5♦K♥4♥Q♥J♥,cfr_bot,showdown,145,T♠6♣,Q♦J♦,T6o,QJs,fold,call,615,-625
1054,A♣K♠9♣4♣4♦,h_bot,showdown,145,3♣9♥,6♣6♦,93o,66,fold,fold,625,-635
1055,2♥2♣9♠4♦K♣,h_bot,showdown,145,2♠A♦,Q♦J♣,A2o,QJo,fold,call,760,-770
1056,T♠7♥3♥7♠8♣,cfr_bot,showdown,185,Q♣J♦,A♠Q♥,QJo,AQo,raise,fold,585,-595
1057,K♠4♠7♠J♦2♥,h_bot,showdown,185,A♦J♣,A♠6♦,AJo,A6o,fold,call,760,-770
1058,8♦A♣5♥5♦6♦,cfr_bot,showdown,225,4♦Q♣,J♥A♦,Q4o,AJo,raise,fold,545,-555
1059,6♣6♠A♦5♥8♦,h_bot,showdown,225,A♠Q♣,T♥8♥,AQo,T8s,fold,call,760,-770
1060,9♣8♣9♠6♦2♥,h_bot,showdown,225,6♣T♦,3♣A♦,T6o,A3o,fold,fold,770,-780
1061,J♣2♣3♠5♥3♣,cfr_bot,showdown,230,9♥K♥,Q♦K♠,K9s,KQo,fold,raise,760,-770
1062,2♦T♦9♣4♥5♥,h_bot,showdown,270,9♠6♠,7♣Q♥,96s,Q7o,raise,fold,770,-780
1063,4♠A♣9♥6♣T♦,cfr_bot,showdown,520,2♣K♠,A♥5♠,K2o,A5o,raise,fold,470,-480
1064,T♠2♣A♠7♥2♦,cfr_bot,showdown,310,T♦8♣,2♠6♠,T8o,62s,fold,fold,170,-180
1065,3♣A♥K♥5♠K♣,cfr_bot,showdown,310,3♦9♦,T♠A♠,93s,ATs,fold,fold,160,-170
1066,A♥5♠2♣K♠Q♦,h_bot,showdown,680,6♥Q♠,9♥6♠,Q6o,96o,raise,call,500,-510
