HandID,Board,Winner,WinType,Pot,h_Hole,r_Hole,h_Bucket,r_Bucket,h_Action,r_Action,h_Delta,r_Delta
7497,3♦4♠Q♣J♣9♠,h_bot,showdown,200,4♥K♥,K♣5♦,K4s,K5o,raise,call,-610,590
7498,K♣Q♥A♠2♠9♣,r_bot,showdown,330,T♥T♦,7♥Q♠,TT,Q7o,raise,raise,-760,740
7499,9♣A♠9♦4♣Q♠,h_bot,showdown,190,9♠8♣,K♠7♦,98o,K7o,fold,call,-580,560
7500,2♥7♥7♣J♣A♥,h_bot|r_bot,split,460,9♣K♦,K♣3♣,K9o,K3s,raise,call,-580,560
7501,A♥T♦6♦4♣A♦,h_bot,showdown,240,A♣T♥,6♣2♠,ATo,62o,fold,call,-350,330
7502,7♠9♠7♥J♣K♥,r_bot,showdown,460,5♠A♦,8♥K♦,A5o,K8o,fold,call,-580,560
7503,A♦8♦J♣A♠4♥,h_bot,showdown,510,8♠K♠,2♣8♥,K8s,82o,raise,fold,-350,330
7504,K♦A♦7♥Q♣2♠,r_bot,showdown,660,3♦6♦,8♠6♥,63s,86o,raise,call,-680,660
7505,K♥8♥Q♣7♣A♠,r_bot,showdown,340,4♣6♦,J♣5♣,64o,J5s,fold,call,-690,670
7506,3♦Q♣5♠8♦3♣,h_bot,showdown,620,8♠A♣,4♥7♦,A8o,74o,raise,call,-380,360
7507,J♥4♥9♦T♦8♥,h_bot,showdown,360,8♣T♣,4♠6♣,T8s,64o,fold,raise,-30,10
7508,4♠3♥Q♥2♠J♠,h_bot,showdown,700,5♥A♣,5♦Q♠,A5o,Q5o,fold,call,320,-340
7509,2♥4♠7♠6♣8♦,r_bot,showdown,360,3♦Q♦,9♥9♠,Q3s,99,fold,call,310,-330
7510,3♥8♣6♣2♦8♠,h_bot,showdown,700,4♥4♠,7♠T♠,44,T7s,fold,call,660,-680
