HandID,Board,Winner,WinType,Pot,h_Hole,r_Hole,h_Bucket,r_Bucket,h_Action,r_Action,h_Delta,r_Delta
1,K♣2♦Q♦5♠9♦,r_bot,showdown,40,J♥J♠,T♥Q♠,JJ,QTo,call,call,-20,20
2,A♦3♥T♥5♥7♣,h_bot,showdown,70,2♣7♥,3♠6♦,72o,63o,call,raise,30,-30
3,2♦5♠9♣5♥4♥,r_bot,showdown,100,T♦Q♠,6♠K♣,QTo,K6o,call,call,-20,20
4,,h_bot,fold,110,7♦2♥,A♠Q♥,72o,AQo,raise,fold,-10,10
5,,h_bot,fold,200,2♥K♣,5♥8♥,K2o,85s,call,call,90,-90
6,,h_bot,fold,200,7♣5♥,8♠K♥,75o,K8o,call,call,190,-190
7,,h_bot,fold,240,K♦4♦,T♣5♣,K4s,T5s,call,raise,330,-330
8,,h_bot,fold,150,8♠5♠,2♦3♦,85s,32s,call,fold,340,-340
9,,h_bot,fold,330,2♦7♥,4♦8♥,72o,84o,raise,fold,480,-480
10,,h_bot,fold,380,9♦8♠,5♠T♣,98o,T5o,call,call,670,-670
11,,h_bot,fold,480,5♥8♥,9♥T♦,85s,T9o,raise,call,910,-910
12,,h_bot,fold,330,J♠K♥,J♦6♣,KJo,J6o,call,call,1000,-1000
13,,h_bot,fold,240,J♣8♥,Q♣3♦,J8o,Q3o,call,call,1000,-1000
14,,h_bot,fold,240,4♠7♦,9♦J♣,74o,J9o,call,call,1000,-1000
15,,h_bot,fold,240,J♣Q♥,J♥2♥,QJo,J2s,call,call,1000,-1000
16,,h_bot,fold,240,9♣7♠,K♠5♣,97o,K5o,call,call,1000,-1000
17,,h_bot,fold,240,6♣A♥,Q♥8♥,A6o,Q8s,call,call,1000,-1000
18,,h_bot,fold,240,5♠J♦,T♥5♣,J5o,T5o,call,fold,1000,-1000
19,,h_bot,fold,240,6♣6♦,T♣2♦,66,T2o,call,fold,1000,-1000
20,,h_bot,fold,240,6♣5♠,6♠Q♣,65o,Q6o,call,call,1000,-1000
21,,h_bot,fold,240,J♥7♠,T♦2♣,J7o,T2o,call,call,1000,-1000
22,,h_bot,fold,240,2♥J♣,5♥3♥,J2o,53s,call,call,1000,-1000
23,,h_bot,fold,240,J♠9♠,J♦T♣,J9s,JTo,call,call,1000,-1000
24,,h_bot,fold,240,9♥K♦,Q♣5♥,K9o,Q5o,call,call,1000,-1000
25,,h_bot,fold,240,4♦8♠,Q♥8♣,84o,Q8o,call,call,1000,-1000
26,,h_bot,fold,240,4♠6♣,7♦5♥,64o,75o,call,raise,1000,-1000
27,,h_bot,fold,10,3♥5♣,Q♥2♥,53o,Q2s,call,call,1000,-1000
28,,h_bot,fold,0,K♥K♠,5♥2♠,KK,52o,call,call,1000,-1000
29,,h_bot,fold,10,2♠Q♠,3♠3♦,Q2s,33,call,call,1000,-1000
30,,h_bot,fold,0,A♠T♥,2♦6♥,ATo,62o,call,call,1000,-1000
31,,h_bot,fold,10,T♦T♠,8♠6♠,TT,86s,call,call,1000,-1000
32,,h_bot,fold,0,A♠5♦,4♥2♠,A5o,42o,call,call,1000,-1000
33,,h_bot,fold,10,3♥J♥,J♣8♦,J3s,J8o,call,call,1000,-1000
34,,h_bot,fold,0,3♠T♣,9♥K♦,T3o,K9o,call,call,1000,-1000
35,,h_bot,fold,10,Q♥4♠,6♠5♣,Q4o,65o,call,call,1000,-1000
36,,h_bot,fold,0,T♠6♥,J♥A♥,T6o,AJs,call,call,1000,-1000
37,,h_bot,fold,10,7♥K♦,8♣3♦,K7o,83o,call,call,1000,-1000
38,,h_bot,fold,0,7♠K♠,A♥4♦,K7s,A4o,call,call,1000,-1000
39,,h_bot,fold,10,7♣4♣,Q♥7♦,74s,Q7o,call,call,1000,-1000
40,,h_bot,fold,50,8♣5♣,7♣A♥,85s,A7o,raise,call,1000,-1000
41,,h_bot,fold,50,J♠A♠,4♣T♦,AJs,T4o,call,call,1000,-1000
42,,h_bot,fold,50,Q♦3♦,3♥K♥,Q3s,K3s,call,call,1000,-1000
43,,h_bot,fold,50,2♦6♣,J♦6♥,62o,J6o,call,call,1000,-1000
44,,h_bot,fold,100,Q♠4♦,J♦A♠,Q4o,AJo,raise,call,1000,-1000
45,,h_bot,fold,150,7♣4♥,5♣8♦,74o,85o,raise,call,1000,-1000
46,,h_bot,fold,200,K♣7♥,3♠Q♦,K7o,Q3o,raise,call,1000,-1000
47,,h_bot,fold,250,8♠9♥,8♣A♠,98o,A8o,raise,raise,1000,-1000
48,,h_bot,fold,50,4♠K♠,7♠J♠,K4s,J7s,raise,call,1000,-1000
49,,h_bot,fold,50,8♥T♠,Q♥Q♣,T8o,QQ,call,call,1000,-1000
50,,h_bot,fold,100,K♥7♦,3♦Q♣,K7o,Q3o,raise,call,1000,-1000
51,,h_bot,fold,100,8♥7♠,T♣8♠,87o,T8o,call,call,1000,-1000
52,,h_bot,fold,100,9♥3♣,8♥A♦,93o,A8o,call,fold,1000,-1000
53,,h_bot,fold,150,6♥T♠,4♦7♣,T6o,74o,raise,call,1000,-1000
54,,h_bot,fold,150,2♣8♣,5♠5♥,82s,55,call,raise,1000,-1000
55,,h_bot,fold,60,2♠K♦,8♠J♥,K2o,J8o,raise,call,1000,-1000
56,,h_bot,fold,110,9♥K♠,8♠7♦,K9o,87o,raise,call,1000,-1000
57,,h_bot,fold,110,8♣6♠,A♣5♦,86o,A5o,call,call,1000,-1000
58,,h_bot,fold,160,5♦A♣,J♦6♥,A5o,J6o,raise,raise,1000,-1000
59,,h_bot,fold,10,8♣A♣,7♣A♠,A8s,A7o,call,call,1000,-1000
60,,h_bot,fold,0,K♠4♥,J♠8♣,K4o,J8o,call,call,1000,-1000
61,,h_bot,fold,60,5♥8♥,2♦6♦,85s,62s,raise,call,1000,-1000
62,,h_bot,fold,60,Q♣Q♥,3♣2♣,QQ,32s,call,raise,1000,-1000
63,,h_bot,fold,60,6♣A♠,7♠A♦,A6o,A7o,raise,call,1000,-1000
64,,h_bot,fold,110,3♠T♦,6♥9♣,T3o,96o,raise,call,1000,-1000
65,,h_bot,fold,110,9♠5♣,K♥8♣,95o,K8o,call,fold,1000,-1000
66,,h_bot,fold,110,Q♠K♣,Q♦4♦,KQo,Q4s,call,call,1000,-1000
67,,h_bot,fold,160,7♠8♥,2♦Q♥,87o,Q2o,raise,raise,1000,-1000
68,,h_bot,fold,50,3♦9♥,3♥2♣,93o,32o,raise,call,1000,-1000
69,,h_bot,fold,100,5♣A♠,4♣3♣,A5o,43s,raise,call,1000,-1000
70,,h_bot,fold,100,4♠3♣,K♣Q♠,43o,KQo,call,call,1000,-1000
71,,h_bot,fold,150,6♥4♣,A♥3♥,64o,A3s,raise,fold,1000,-1000
72,,h_bot,fold,150,4♣J♥,K♦4♠,J4o,K4o,call,call,1000,-1000
73,,h_bot,fold,200,A♦T♠,2♥Q♦,ATo,Q2o,raise,call,1000,-1000
74,,h_bot,fold,200,3♦8♣,9♣6♣,83o,96s,call,fold,1000,-1000
75,,h_bot,fold,200,A♦4♣,5♦7♣,A4o,75o,call,call,1000,-1000
76,,h_bot,fold,250,5♣3♠,4♦7♣,53o,74o,raise,raise,1000,-1000
77,,h_bot,fold,10,2♠2♥,3♥T♥,22,T3s,call,call,1000,-1000
78,,h_bot,fold,50,T♦3♣,A♦5♠,T3o,A5o,raise,raise,1000,-1000
79,,h_bot,fold,10,J♣8♣,K♠7♣,J8s,K7o,call,call,1000,-1000
80,,h_bot,fold,0,A♣9♣,4♥J♥,A9s,J4s,call,call,1000,-1000
81,,h_bot,fold,10,3♦2♠,K♣6♣,32o,K6s,call,call,1000,-1000
82,4♦8♣8♥T♥9♦,h_bot,showdown,0,J♣J♠,Q♣A♥,JJ,AQo,fold,call,1000,-1000
83,T♥6♥K♦A♣T♣,h_bot,showdown,10,A♦Q♥,6♠K♣,AQo,K6o,call,call,1000,-1000
84,2♣5♥8♣Q♦2♦,r_bot,showdown,50,J♣J♦,Q♣5♦,JJ,Q5o,raise,fold,950,-950
85,J♦3♠9♠4♥J♠,r_bot,showdown,150,5♥6♠,7♦4♣,65o,74o,raise,fold,850,-850
86,9♠3♠Q♦K♠6♠,h_bot,showdown,300,3♥T♠,3♣K♦,T3o,K3o,raise,call,1000,-1000
87,3♠A♥5♥2♦Q♦,h_bot,showdown,200,A♣T♠,9♦2♣,ATo,92o,raise,raise,1000,-1000
88,6♣7♠A♦5♦K♠,h_bot,showdown,0,A♠3♥,J♣6♦,A3o,J6o,call,raise,1000,-1000
89,4♦4♣K♠4♠J♣,r_bot,showdown,60,2♦3♣,K♥7♠,32o,K7o,raise,call,940,-940
90,J♦7♣A♠2♠6♠,h_bot,showdown,170,J♣3♣,6♦9♥,J3s,96o,raise,call,1000,-1000
91,3♥6♠A♦Q♠4♠,h_bot,showdown,110,4♦9♥,5♣4♣,94o,54s,call,call,1000,-1000
92,Q♠6♥J♠6♠K♦,h_bot,showdown,110,A♠2♥,7♥3♦,A2o,73o,call,call,1000,-1000
93,J♦5♦8♠K♣7♦,h_bot,showdown,110,8♦5♣,Q♦3♠,85o,Q3o,call,fold,1000,-1000
94,2♦J♥K♦6♠K♠,r_bot,showdown,160,2♥J♣,9♣K♥,J2o,K9o,raise,call,840,-840
95,2♦7♣3♠9♦Q♦,r_bot,showdown,370,5♠3♣,T♦7♠,53o,T7o,raise,call,630,-630
96,6♣9♦Q♠7♣T♦,r_bot,showdown,270,J♣7♥,8♠4♣,J7o,84o,raise,fold,370,-370
97,2♦A♣A♦J♣3♣,r_bot,showdown,620,8♦4♣,8♠9♠,84o,98s,raise,call,60,-60
98,A♠6♥5♦J♥Q♦,r_bot,showdown,370,3♥8♠,9♦4♦,83o,94s,raise,fold,-300,300
99,8♥5♦Q♥5♠4♠,r_bot,showdown,820,A♣6♥,K♥Q♠,A6o,KQo,raise,call,-710,710
100,3♦9♣3♠7♠2♣,h_bot,showdown,300,T♣K♥,K♠4♣,KTo,K4o,call,fold,-700,700
101,Q♣A♦9♥T♠J♦,h_bot,showdown,710,4♥J♥,2♥5♣,J4s,52o,call,call,-290,290
102,6♥4♣A♣7♣8♥,r_bot,showdown,470,2♦A♠,4♦6♦,A2o,64s,raise,fold,-750,750
103,8♥5♠J♠6♦4♦,h_bot,showdown,710,A♥Q♠,A♣T♦,AQo,ATo,raise,call,-290,290
104,7♦9♣7♠J♦3♦,r_bot,showdown,310,6♥8♦,T♥3♥,86o,T3s,raise,fold,-590,590
105,4♥J♥Q♣2♠A♦,h_bot,showdown,700,K♥J♦,3♦8♣,KJo,83o,raise,call,-240,240
106,Q♦T♠9♥J♣2♣,r_bot,showdown,800,6♠2♦,7♥J♠,62o,J7o,raise,call,-640,640
107,7♣2♠T♦5♦9♠,r_bot,showdown,760,3♣5♣,9♥Q♦,53s,Q9o,call,call,-1000,1000
108,9♣T♥T♦6♠T♠,r_bot,showdown,10,8♠6♥,9♦K♥,86o,K9o,raise,call,-1000,1000
109,9♣2♦7♣A♠6♠,r_bot,showdown,0,4♣5♣,3♦9♦,54s,93s,call,call,-1000,1000
110,9♠5♦2♦9♣7♥,r_bot,showdown,10,A♣6♥,A♥T♥,A6o,ATs,raise,call,-1000,1000
111,6♥3♦8♠7♦2♦,h_bot,showdown,0,A♥6♣,Q♠A♣,A6o,AQo,raise,call,-1000,1000
112,9♠T♦2♥2♦2♣,r_bot,showdown,10,6♠K♠,J♥2♠,K6s,J2o,call,call,-1000,1000
113,Q♥Q♠A♣6♦A♠,h_bot|r_bot,split,0,8♦8♥,8♠2♠,88,82s,call,call,-1000,1000
114,J♥3♥4♠7♦6♣,r_bot,showdown,10,2♣T♦,Q♣5♣,T2o,Q5s,call,call,-1000,1000
115,Q♣9♥T♠5♥2♦,r_bot,showdown,0,Q♦3♣,5♣2♠,Q3o,52o,call,call,-1000,1000
116,9♦Q♣K♠8♥A♦,h_bot,showdown,10,7♦A♥,4♥K♥,A7o,K4s,call,call,-990,990
117,A♠J♦2♣8♥Q♦,r_bot,showdown,50,K♥2♠,8♦5♦,K2o,85s,raise,raise,-1000,1000
118,A♠K♠2♣4♣2♦,h_bot,showdown,40,2♥5♥,3♦9♠,52s,93o,call,call,-960,960
119,2♥2♠8♣7♦9♠,r_bot,showdown,80,5♣3♥,5♥Q♦,53o,Q5o,raise,call,-1000,1000
120,5♥2♣5♦T♥5♠,h_bot,showdown,10,8♣7♦,6♦3♣,87o,63o,raise,call,-990,990
121,3♦J♦K♣Q♥6♣,r_bot,showdown,20,4♥9♠,Q♦3♥,94o,Q3o,raise,call,-1000,1000
122,3♦4♥4♦J♠A♠,r_bot,showdown,10,T♣5♥,J♣8♦,T5o,J8o,call,call,-1000,1000
123,9♣T♣Q♣2♦A♦,r_bot,showdown,10,8♦6♥,A♠Q♦,86o,AQo,fold,call,-1000,1000
124,6♣7♥K♠4♦3♦,r_bot,showdown,10,T♦2♦,A♦3♥,T2s,A3o,call,call,-1000,1000
125,6♦A♣9♣6♣T♥,h_bot,showdown,10,K♦3♣,2♦Q♣,K3o,Q2o,call,call,-990,990
126,6♥J♣3♦3♠A♣,h_bot,showdown,20,2♥T♣,5♠7♣,T2o,75o,fold,call,-980,980
127,T♣9♣J♥T♥Q♠,h_bot,showdown,20,8♣K♣,4♣2♠,K8s,42o,call,call,-970,970
128,2♦6♣2♥3♦J♦,h_bot,showdown,60,9♣J♣,7♦7♥,J9s,77,raise,call,-940,940
129,8♥Q♥9♣7♠A♠,r_bot,showdown,60,9♠J♣,A♥8♣,J9o,A8o,call,call,-970,970
130,6♠5♦2♥3♣8♦,h_bot,showdown,60,3♥6♣,6♥2♣,63o,62o,call,call,-940,940
131,8♠Q♠2♦4♥J♦,r_bot,showdown,90,T♣3♥,K♥A♠,T3o,AKo,raise,fold,-1000,1000
132,Q♦T♥3♥8♥3♣,h_bot|r_bot,split,10,T♠J♠,T♦4♥,JTs,T4o,call,fold,-995,995
133,9♥K♦3♥5♦T♦,r_bot,showdown,65,K♠7♠,5♣T♣,K7s,T5s,raise,call,-1000,1000
134,6♣3♦7♥4♠J♥,r_bot,showdown,10,8♥3♥,T♣T♥,83s,TT,call,call,-1000,1000
135,9♠5♣8♦9♦5♦,r_bot,showdown,5,T♦6♣,9♣3♣,T6o,93s,raise,call,-1000,1000
136,K♣Q♦4♠3♦K♥,r_bot,showdown,10,5♣2♣,4♦Q♥,52s,Q4o,fold,call,-1000,1000
137,T♣2♦3♥8♥2♣,h_bot,showdown,0,Q♦Q♠,J♥K♦,QQ,KJo,raise,call,-1000,1000
138,2♦T♥9♠3♣5♠,h_bot,showdown,10,2♠6♥,Q♥6♣,62o,Q6o,raise,call,-990,990
139,Q♣4♠Q♦9♣4♥,r_bot,showdown,10,A♥T♥,7♣Q♥,ATs,Q7o,call,call,-1000,1000
140,9♣3♥6♦K♠A♦,r_bot,showdown,10,8♦3♠,A♠9♦,83o,A9o,raise,call,-1000,1000
141,5♠Q♦7♠A♦3♥,r_bot,showdown,0,7♥4♠,2♦Q♥,74o,Q2o,raise,call,-1000,1000
142,A♥J♦6♦4♥A♠,h_bot,showdown,10,6♥A♦,J♣K♣,A6o,KJs,fold,call,-990,990
143,K♠T♥Q♦5♠3♥,r_bot,showdown,10,7♠8♠,6♥A♦,87s,A6o,call,call,-1000,1000
144,5♥K♦8♠T♣8♣,r_bot,showdown,10,6♠4♦,A♥J♣,64o,AJo,raise,call,-1000,1000
145,Q♦5♦J♠Q♥J♦,r_bot,showdown,0,K♦A♥,4♥J♣,AKo,J4o,call,call,-1000,1000
146,3♥2♥2♣Q♦9♦,r_bot,showdown,10,7♠4♣,8♥6♥,74o,86s,raise,call,-1000,1000
147,3♦2♠5♥5♣T♦,r_bot,showdown,0,2♥A♦,J♠5♦,A2o,J5o,raise,call,-1000,1000
148,4♣T♠T♥Q♠Q♣,r_bot,showdown,10,3♣6♥,4♥9♣,63o,94o,fold,call,-1000,1000
149,3♠6♦2♠4♦2♥,h_bot,showdown,0,K♥8♣,J♥Q♣,K8o,QJo,call,call,-1000,1000
150,T♣T♥3♦J♦T♦,r_bot,showdown,10,5♣9♥,Q♦2♦,95o,Q2s,raise,call,-1000,1000
151,6♥4♥8♠K♦8♦,r_bot,showdown,0,7♣J♠,7♥5♦,J7o,75o,raise,call,-1000,1000
152,3♣9♣8♦A♦3♦,r_bot,showdown,10,6♠2♦,4♠Q♦,62o,Q4o,fold,call,-1000,1000
153,2♦7♥6♣Q♦J♠,r_bot,showdown,0,A♣3♦,A♥K♣,A3o,AKo,raise,call,-1000,1000
154,A♥J♣K♠Q♥6♥,r_bot,showdown,10,A♠J♠,T♥2♠,AJs,T2o,raise,call,-1000,1000
155,Q♠2♠T♥2♣K♥,r_bot,showdown,0,8♦3♥,6♣K♠,83o,K6o,fold,call,-1000,1000
156,J♥Q♠5♣T♥2♦,r_bot,showdown,10,J♣3♦,Q♦T♠,J3o,QTo,call,call,-1000,1000
157,J♠A♥7♠7♦4♣,r_bot,showdown,0,2♣5♦,9♥6♦,52o,96o,call,call,-1000,1000
158,5♣9♠K♥8♣3♠,r_bot,showdown,50,2♦5♦,2♠9♥,52s,92o,fold,raise,-1000,1000
159,2♦Q♣Q♠T♠3♣,h_bot,showdown,50,5♦T♣,8♣7♥,T5o,87o,fold,call,-950,950
160,5♠T♦A♣Q♣4♠,r_bot,showdown,100,6♣J♠,A♠7♣,J6o,A7o,call,call,-1000,1000
161,Q♦4♣J♥5♣J♠,h_bot,showdown,50,A♠Q♠,3♦T♠,AQs,T3o,call,call,-950,950
162,3♣K♥4♦9♣2♠,r_bot,showdown,100,T♠7♥,4♠6♦,T7o,64o,call,call,-1000,1000
163,5♠5♥2♦4♦7♦,h_bot,showdown,50,7♣K♥,4♥8♣,K7o,84o,raise,call,-950,950
164,3♦7♠8♠4♠9♥,r_bot,showdown,10,A♠2♦,6♣3♥,A2o,63o,fold,call,-950,950
165,5♣7♣A♣5♥3♣,h_bot,showdown,10,4♥5♠,Q♠2♦,54o,Q2o,call,call,-950,950
166,5♦8♦T♣J♠4♠,r_bot,showdown,10,K♦6♦,Q♦A♠,K6s,AQo,fold,call,-950,950
167,5♥Q♣5♠8♣7♥,r_bot,showdown,50,6♥8♦,5♦9♦,86o,95s,fold,raise,-960,960
168,4♥3♦6♣6♦5♥,h_bot,showdown,50,7♥A♦,8♥K♥,A7o,K8s,fold,fold,-950,950
169,K♦7♥5♥6♥9♠,h_bot,showdown,50,8♥K♥,5♦2♥,K8s,52o,fold,call,-910,910
170,T♥3♦4♥2♣7♣,r_bot,showdown,80,6♣Q♣,Q♠J♥,Q6s,QJo,call,call,-950,950
171,7♦J♠A♦5♥4♣,r_bot,showdown,100,8♥T♠,2♠2♣,T8o,22,raise,call,-1000,1000
172,8♥2♠6♦9♣Q♦,h_bot,showdown,10,3♦T♣,3♣7♣,T3o,73s,raise,call,-990,990
173,A♠T♦9♣A♦K♠,h_bot|r_bot,split,20,8♠7♦,4♦8♦,87o,84s,raise,call,-990,990
174,A♥4♠J♦9♦8♠,r_bot,showdown,20,8♦5♥,7♠A♣,85o,A7o,raise,call,-1000,1000
175,2♥T♣3♠J♣K♥,h_bot,showdown,10,3♦4♦,A♥9♠,43s,A9o,call,call,-990,990
176,2♠T♣6♦J♠9♠,h_bot,showdown,20,7♦9♥,7♥3♦,97o,73o,raise,call,-980,980
177,9♠8♥9♦2♠K♦,r_bot,showdown,30,4♥3♣,2♥7♣,43o,72o,raise,fold,-1000,1000
178,K♠K♥8♦K♦T♥,h_bot|r_bot,split,20,Q♠4♠,Q♦4♥,Q4s,Q4o,call,call,-990,990
179,2♣6♣J♦6♠7♣,h_bot,showdown,30,J♠A♥,3♦T♠,AJo,T3o,call,call,-970,970
180,K♣3♣7♠J♦T♦,r_bot,showdown,40,5♦8♣,4♦K♥,85o,K4o,call,call,-990,990
181,Q♦K♣6♦7♦J♥,h_bot,showdown,30,9♦9♠,3♦6♠,99,63o,call,call,-970,970
182,4♠T♥9♣5♦4♦,r_bot,showdown,70,7♠6♦,Q♦2♥,76o,Q2o,call,raise,-990,990
183,3♣7♥T♠7♣5♦,r_bot,showdown,60,4♦8♥,4♥5♥,84o,54s,raise,call,-1000,1000
184,5♣6♥8♦A♠K♠,r_bot,showdown,50,J♠J♦,7♦4♦,JJ,74s,raise,raise,-1000,1000
185,9♣5♠T♣T♦5♣,h_bot,showdown,50,3♠T♥,4♠3♥,T3o,43o,raise,call,-950,950
186,K♠8♣6♣Q♣J♣,h_bot,showdown,130,T♣T♠,T♦K♦,TT,KTs,raise,raise,-870,870
187,2♥Q♣T♣2♦8♠,h_bot,showdown,160,4♥A♥,K♦6♠,A4s,K6o,call,call,-790,790
188,7♠Q♥9♣7♣J♠,r_bot,showdown,260,K♠J♥,T♠8♠,KJo,T8s,raise,call,-920,920
189,7♦9♣J♣5♣4♣,r_bot,showdown,210,Q♥2♠,6♠5♥,Q2o,65o,call,call,-1000,1000
190,J♦9♥2♠8♥6♠,h_bot,showdown,10,8♣T♥,8♦7♥,T8o,87o,call,fold,-990,990
191,4♥9♣A♦2♣8♥,r_bot,showdown,140,K♠Q♥,8♣4♦,KQo,84o,raise,call,-1000,1000
192,4♦J♠7♣6♦Q♥,r_bot,showdown,10,Q♦T♥,6♥4♠,QTo,64o,fold,call,-1000,1000
193,6♦9♣7♦6♠J♦,r_bot,showdown,10,5♦3♣,Q♥J♥,53o,QJs,raise,call,-1000,1000
194,7♣A♠6♥9♦4♥,h_bot,showdown,10,9♥6♠,2♥8♦,96o,82o,call,call,-990,990
195,Q♠6♦T♠9♣9♦,r_bot,showdown,20,K♥2♦,6♣7♠,K2o,76o,raise,call,-1000,1000
196,Q♥2♦8♦K♠4♣,h_bot,showdown,10,A♥J♦,3♣9♥,AJo,93o,fold,call,-990,990
197,9♣A♥A♠4♣Q♣,r_bot,showdown,20,J♠6♣,6♦Q♦,J6o,Q6s,fold,call,-1000,1000
198,K♥2♣A♣9♥6♠,h_bot,showdown,10,A♥Q♥,7♥8♣,AQs,87o,fold,call,-990,990
199,5♣Q♦J♣4♦3♠,r_bot,showdown,20,K♥8♦,T♦5♥,K8o,T5o,fold,call,-1000,1000
200,9♥T♠J♦3♥8♣,h_bot,showdown,50,4♥T♦,6♠9♦,T4o,96o,call,raise,-950,950
201,2♥7♣3♥A♣A♠,h_bot,showdown,60,T♣Q♥,6♣8♦,QTo,86o,fold,call,-900,900
202,5♥A♦6♣9♣2♣,r_bot,showdown,200,Q♠4♣,K♠6♥,Q4o,K6o,raise,call,-1000,1000
203,K♦A♥8♠9♥7♠,r_bot,showdown,100,9♠3♦,A♣9♦,93o,A9o,raise,call,-1000,1000
204,8♥5♦4♣J♦4♠,r_bot,showdown,50,2♦3♠,Q♦3♣,32o,Q3o,raise,raise,-1000,1000
205,J♦4♥7♠K♠8♣,h_bot,showdown,50,J♥3♥,6♣T♥,J3s,T6o,raise,call,-950,950
206,T♦Q♠3♥9♥8♣,r_bot,showdown,100,9♣K♥,5♠Q♦,K9o,Q5o,raise,call,-1000,1000
207,Q♥5♦3♦2♥4♣,h_bot,showdown,50,Q♣6♠,5♥T♠,Q6o,T5o,call,call,-950,950
208,9♠8♥Q♣4♣K♥,h_bot,showdown,100,Q♥7♠,4♦A♠,Q7o,A4o,call,call,-900,900
209,5♦6♣2♣7♠4♥,r_bot,showdown,60,2♥K♣,A♠2♠,K2o,A2s,fold,call,-910,910
210,3♦T♣J♣8♦T♦,r_bot,showdown,100,5♦9♠,9♣K♦,95o,K9o,call,call,-960,960
211,8♦A♥9♦4♦5♥,h_bot,showdown,90,9♠A♦,J♣7♦,A9o,J7o,call,call,-910,910
212,3♠A♦K♣5♠J♦,h_bot,showdown,100,Q♠6♦,7♦2♠,Q6o,72o,fold,call,-860,860
213,2♦7♦5♦7♠3♦,h_bot,showdown,200,4♦A♥,7♥T♣,A4o,T7o,raise,call,-760,760
214,T♦7♣6♥T♣6♣,h_bot,showdown,200,6♠Q♥,2♠5♦,Q6o,52o,fold,call,-660,660
215,Q♠9♥9♣Q♣8♥,h_bot|r_bot,split,110,3♠5♠,2♣3♥,53s,32o,fold,call,-615,615
216,J♠Q♦Q♣6♠J♥,h_bot,showdown,300,Q♥J♦,T♦3♣,QJo,T3o,raise,call,-465,465
217,T♠J♦7♥T♥5♦,r_bot,showdown,400,3♥2♦,9♥8♣,32o,98o,raise,call,-665,665
218,9♦6♥5♠K♠9♥,h_bot,showdown,400,2♣6♦,Q♠7♣,62o,Q7o,fold,call,-465,465
219,5♥6♥9♥T♥4♦,r_bot,showdown,400,8♣A♦,7♥T♦,A8o,T7o,call,call,-665,665
220,K♠4♣9♥A♣A♦,h_bot,showdown,210,A♠3♦,J♦7♣,A3o,J7o,call,fold,-655,655
221,9♣K♠3♥Q♠7♦,h_bot,showdown,400,Q♥5♣,4♣6♣,Q5o,64s,call,call,-455,455
222,T♠3♦J♥9♠T♥,r_bot,showdown,400,2♣4♠,K♣5♥,42o,K5o,call,call,-655,655
223,9♣2♥4♥A♠5♠,h_bot,showdown,400,Q♥Q♣,Q♦8♦,QQ,Q8s,call,call,-455,455
224,5♣4♥A♣7♦3♣,r_bot,showdown,210,3♥T♥,6♥2♥,T3s,62s,call,fold,-655,655
225,6♥6♠7♣J♦8♦,r_bot,showdown,210,8♥K♦,A♣8♠,K8o,A8o,fold,call,-665,665
226,9♥2♣J♦T♦4♠,h_bot,showdown,400,2♥5♣,6♣Q♥,52o,Q6o,fold,call,-465,465
227,T♦5♥3♠A♦6♣,r_bot,showdown,210,K♠J♦,7♦7♥,KJo,77,fold,call,-475,475
228,A♦5♦2♥8♣J♠,r_bot,showdown,400,K♠Q♥,5♥T♠,KQo,T5o,call,call,-675,675
229,3♦Q♦3♠Q♣8♣,h_bot|r_bot,split,210,6♣2♥,6♥7♣,62o,76o,fold,call,-580,580
230,K♥9♦9♥A♠8♣,h_bot,showdown,400,A♣6♦,7♣8♠,A6o,87o,fold,call,-380,380
231,K♦4♠Q♥8♦5♠,r_bot,showdown,450,J♥5♣,8♥2♣,J5o,82o,raise,fold,-630,630
232,J♣3♠A♠7♦8♥,h_bot,showdown,600,8♦9♠,T♦3♦,98o,T3s,raise,call,-330,330
233,2♠5♠3♠A♣4♣,h_bot|r_bot,split,600,9♦4♦,3♣9♣,94s,93s,call,call,-330,330
234,T♦3♣J♦J♣8♣,h_bot,showdown,600,9♠A♦,K♠2♥,A9o,K2o,fold,call,-30,30
235,3♥Q♦5♥8♠Q♥,r_bot,showdown,650,9♥K♦,Q♠A♦,K9o,AQo,raise,fold,-380,380
236,9♥5♦7♣6♦Q♥,h_bot,showdown,700,8♦2♥,J♣2♣,82o,J2s,call,call,-30,30
237,J♠4♦T♣5♠5♦,h_bot,showdown,700,7♠8♦,2♥6♠,87o,62o,call,call,320,-320
238,Q♠J♦7♣5♣9♦,h_bot,showdown,700,T♦8♥,9♣J♥,T8o,J9o,fold,call,670,-670
239,K♥6♦9♦Q♦K♦,h_bot,showdown,730,7♥5♦,3♣Q♣,75o,Q3s,raise,call,1000,-1000
240,J♣6♦6♣T♥Q♥,h_bot,showdown,400,Q♣9♦,3♦8♦,Q9o,83s,call,call,1000,-1000
241,Q♠2♦5♠A♣T♣,r_bot,showdown,10,6♥J♠,3♥5♣,J6o,53o,fold,raise,990,-990
242,3♣3♠5♦J♠K♠,r_bot,showdown,10,9♠5♣,A♠3♦,95o,A3o,fold,raise,990,-990
243,8♠4♣Q♦J♦7♣,h_bot,showdown,20,7♥T♥,A♣6♣,T7s,A6s,call,call,1000,-1000
244,8♦A♠J♣9♣4♣,r_bot,showdown,10,T♣5♥,8♠4♦,T5o,84o,fold,fold,990,-990
